wavelength,0,1,2,3,4,5
634,-0.0022,0.13,0.2127,0.3241,0.4588,0.4746
636,-0.0021,0.1321,0.2221,0.337,0.4717,0.4888
638,-0.0022,0.1384,0.2313,0.351,0.4913,0.509
640,-0.0023,0.1442,0.2419,0.366,0.5113,0.5297
642,-0.0025,0.151,0.2538,0.3839,0.5341,0.5534
644,-0.0022,0.1575,0.2666,0.4018,0.5576,0.5778
646,-0.0021,0.1625,0.2802,0.4221,0.5809,0.6032
648,-0.0022,0.1684,0.2951,0.4441,0.6066,0.6306
650,-0.0019,0.1755,0.3093,0.4643,0.6332,0.6576
652,-0.0024,0.1889,0.3251,0.4888,0.6723,0.6977
654,-0.0033,0.196,0.3296,0.4977,0.6908,0.717
656,-0.0003,0.1655,0.3467,0.5174,0.6621,0.6975
658,-0.0003,0.1759,0.3495,0.5208,0.676,0.7095
660,-0.0021,0.1993,0.3448,0.5167,0.7134,0.7379
662,-0.0028,0.2157,0.3483,0.5234,0.7367,0.7615
664,-0.0035,0.2091,0.3497,0.5254,0.7291,0.7579
666,-0.0023,0.2005,0.3515,0.5266,0.7155,0.7439
668,-0.0022,0.1953,0.3448,0.516,0.6997,0.7298
670,-0.0022,0.1886,0.3333,0.4991,0.6747,0.7039
672,-0.0021,0.1776,0.3167,0.474,0.6411,0.6694
674,-0.0026,0.1701,0.2895,0.4345,0.5977,0.622
676,-0.0022,0.1524,0.2616,0.3921,0.5374,0.5598
678,-0.0021,0.1355,0.2297,0.3447,0.4752,0.4946
680,-0.002,0.1221,0.2001,0.3012,0.4208,0.437
682,-0.002,0.1083,0.1709,0.258,0.3658,0.3785
684,-0.0021,0.0899,0.1376,0.2088,0.3008,0.3111
686,-0.0023,0.0841,0.1169,0.1782,0.268,0.2749
688,-0.0022,0.073,0.0964,0.1475,0.227,0.2319
690,-0.002,0.0626,0.0767,0.1182,0.1879,0.191
692,-0.0022,0.0554,0.0622,0.0964,0.1603,0.1621
694,-0.0023,0.0519,0.0503,0.0788,0.1414,0.1413
696,-0.0024,0.0446,0.0387,0.0616,0.1171,0.1159
698,-0.002,0.0407,0.0306,0.05,0.1024,0.1004
700,-0.0023,0.0383,0.0237,0.0397,0.0905,0.0881
702,-0.0024,0.034,0.017,0.0305,0.0772,0.0748
704,-0.0024,0.0357,0.0134,0.0248,0.075,0.0712
706,-0.0021,0.0293,0.01,0.0196,0.0608,0.0575
708,-0.0024,0.0306,0.0063,0.0144,0.0599,0.0555
710,-0.0024,0.0312,0.0041,0.0113,0.0576,0.0529
712,-0.0022,0.0287,0.0036,0.0099,0.0525,0.0476
714,-0.002,0.024,0.0023,0.0077,0.044,0.0401
716,-0.0024,0.0274,0.0006,0.0054,0.0474,0.0423
718,-0.0023,0.0247,-0.0001,0.0046,0.0421,0.038
720,-0.0021,0.0259,-0.0006,0.0035,0.0434,0.0383
722,-0.0022,0.0244,-0.0011,0.0026,0.0405,0.0357
724,-0.0021,0.0237,-0.0014,0.0022,0.0384,0.0336
726,-0.002,0.0219,-0.0021,0.0009,0.0353,0.0311
728,-0.0025,0.0265,-0.0037,-0.0005,0.0411,0.0358
730,-0.0021,0.0239,-0.0029,0,0.037,0.032
732,-0.0019,0.0232,-0.0023,0,0.0363,0.0308
734,-0.0025,0.0249,-0.0044,-0.0017,0.0374,0.0323
736,-0.0027,0.0268,-0.0053,-0.0027,0.0398,0.034
738,-0.0023,0.0255,-0.0038,-0.0014,0.0387,0.0326
740,-0.0019,0.0195,-0.0031,-0.001,0.0295,0.0251
742,-0.003,0.0306,-0.0062,-0.0038,0.0439,0.0372
744,-0.0027,0.029,-0.0055,-0.0031,0.0421,0.0355
746,-0.0022,0.0247,-0.0038,-0.0017,0.0365,0.0306
748,-0.002,0.0211,-0.0035,-0.0016,0.0314,0.0263
750,-0.0022,0.023,-0.0049,-0.0028,0.0331,0.0281
752,-0.0022,0.0245,-0.0042,-0.0023,0.0358,0.0296
754,-0.0021,0.0197,-0.0042,-0.0024,0.0282,0.0238
756,-0.0026,0.026,-0.0055,-0.0034,0.0368,0.031
758,-0.002,0.0224,-0.0046,-0.0028,0.0319,0.0267
760,-0.0029,0.0286,-0.0066,-0.0047,0.0398,0.0336
762,-0.0021,0.0256,-0.0045,-0.0027,0.0369,0.0303
764,-0.0024,0.022,-0.0054,-0.0036,0.0309,0.0259
766,-0.0022,0.0238,-0.0047,-0.0033,0.034,0.0279
768,-0.0028,0.0281,-0.0065,-0.0042,0.0389,0.0327
770,-0.002,0.0219,-0.0042,-0.0028,0.0314,0.0257
772,-0.0023,0.0258,-0.0052,-0.0037,0.0365,0.0301
774,-0.0028,0.0267,-0.0066,-0.0048,0.0371,0.0311
776,-0.0028,0.0305,-0.0066,-0.0048,0.0423,0.0352
778,-0.002,0.0227,-0.0043,-0.0026,0.0321,0.0265
780,-0.0019,0.0196,-0.0041,-0.0028,0.0274,0.0227
782,-0.0024,0.0244,-0.0055,-0.0039,0.0335,0.0278
784,-0.0023,0.0253,-0.0059,-0.0043,0.0349,0.029
786,-0.0025,0.0267,-0.0059,-0.004,0.0368,0.0304
788,-0.0024,0.0252,-0.0058,-0.004,0.0346,0.029
790,-0.0022,0.024,-0.0047,-0.0034,0.0336,0.0275
792,-0.0021,0.0225,-0.0048,-0.0032,0.0313,0.0258
794,-0.0029,0.0263,-0.0067,-0.0049,0.0356,0.0299
796,-0.0017,0.0215,-0.003,-0.0021,0.0314,0.025
798,-0.0033,0.0304,-0.0082,-0.0061,0.0404,0.0343
800,-0.0024,0.0259,-0.0052,-0.0035,0.0364,0.0298
802,-0.0021,0.0215,-0.0046,-0.0032,0.0296,0.0243
804,-0.0028,0.0277,-0.0063,-0.0047,0.0376,0.0311
806,-0.0028,0.0266,-0.0069,-0.005,0.0363,0.0304
808,-0.0021,0.0239,-0.0051,-0.0039,0.0334,0.0273
810,-0.0023,0.0253,-0.0052,-0.0038,0.0356,0.029
812,-0.0022,0.0225,-0.0048,-0.0033,0.0307,0.0254
814,-0.0032,0.029,-0.0081,-0.0061,0.0386,0.0326
816,-0.0022,0.0275,-0.0052,-0.0038,0.039,0.0317
818,-0.0022,0.0224,-0.0053,-0.0039,0.0307,0.0253
820,-0.0028,0.0302,-0.0067,-0.0048,0.0417,0.0347
