Time,calib,upstream,downstream
5856.33,0.601794,0.229661,0.331464
5856.34,0.601794,0.198411,0.33537
5856.35,0.602771,0.171068,0.328534
5856.36,0.600818,0.141771,0.317792
5856.37,0.601794,0.109544,0.298261
5856.38,0.602771,0.070482,0.27287
5856.39,0.599841,0.033372,0.246503
5856.4,0.601794,0.023607,0.174237
5856.41,0.601794,-0.006667,0.140058
5856.42,0.601794,-0.055495,0.143964
5856.43,0.600818,-0.097487,0.104901
5856.44,0.599841,-0.174636,0.066815
5856.45,0.600818,-0.216628,0.029706
5856.46,0.600818,-0.247878,-0.002521
5856.47,0.601794,-0.242995,-0.034747
5856.48,0.600818,-0.26155,-0.064044
5856.49,0.599841,-0.277175,-0.090411
5856.5,0.599841,-0.280104,-0.115802
5856.51,0.600818,-0.281081,-0.140216
5856.52,0.601794,-0.277175,-0.1617
5856.53,0.599841,-0.268386,-0.181231
5856.54,0.600818,-0.256667,-0.203692
5856.55,0.600818,-0.245925,-0.218341
5856.56,0.599841,-0.229323,-0.231036
5856.57,0.600818,-0.209792,-0.236896
5856.58,0.600818,-0.191237,-0.241778
5856.59,0.599841,-0.165847,-0.241778
5856.6,0.599841,-0.140456,-0.235919
5856.61,0.599841,-0.110182,-0.223224
5856.62,0.600818,-0.075026,-0.212481
5856.63,0.600818,-0.034987,-0.19588
5856.64,0.601794,0.007982,-0.171466
5856.65,0.600818,0.052903,-0.145099
5856.66,0.599841,0.100755,-0.118731
5856.67,0.599841,0.148607,-0.089435
5856.68,0.599841,0.195482,-0.059161
5856.69,0.599841,0.236497,-0.026935
5856.7,0.600818,0.273607,0.006269
5856.71,0.601794,0.299974,0.037519
5856.72,0.599841,0.324388,0.070722
5856.73,0.601794,0.340013,0.100019
5856.74,0.599841,0.350755,0.136151
5856.75,0.600818,0.357591,0.167401
5856.76,0.601794,0.356614,0.195722
5856.77,0.600818,0.350755,0.226972
5856.78,0.601794,0.322435,0.250409
5856.79,0.600818,0.304857,0.2758
5856.8,0.600818,0.287279,0.294354
5856.81,0.600818,0.2697,0.311933
5856.82,0.599841,0.247239,0.331464
5856.83,0.598865,0.227708,0.333417
5856.84,0.600818,0.200364,0.334394
